date,store_name,machine_number,machine_name,games,diff,bb,rb,art,total_rate,bb_rate,rb_rate,art_rate,graph_max,graph_min,graph_drawdown,graph_points
2026-08-22,YASUDA7,1,邪神ちゃんドロップキック,7201,7138,31,21,,138.5,232.3,342.9,,8275,18,1468,165
2026-08-22,YASUDA7,2,邪神ちゃんドロップキック,5118,-3798,19,7,,196.8,269.4,731.1,,-9,-3807,3798,176
2026-08-22,YASUDA7,3,邪神ちゃんドロップキック,5826,-2018,24,11,,166.5,242.8,529.6,,0,-2101,2101,176
2026-08-22,YASUDA7,4,邪神ちゃんドロップキック,6088,-2298,25,9,,179.1,243.5,676.4,,0,-2303,2303,176
2026-08-22,YASUDA7,5,邪神ちゃんドロップキック,7559,11136,32,25,,132.6,236.2,302.4,,11409,-227,727,175
2026-08-22,YASUDA7,6,戦国コレクション6,974,-459,5,2,,139.1,194.8,487.0,,0,-1023,1023,176
2026-08-22,YASUDA7,7,戦国コレクション6,3264,-1977,19,8,,120.9,171.8,408.0,,0,-2445,2445,176
2026-08-22,YASUDA7,8,戦国コレクション6,2240,-1298,7,4,,203.6,320.0,560.0,,-5,-1963,1958,176
2026-08-22,YASUDA7,9,戦国コレクション6,3909,8164,38,14,,75.2,102.9,279.2,,9473,-673,1382,175
2026-08-22,YASUDA7,10,戦国コレクション6,4244,11182,52,20,,58.9,81.6,212.2,,11136,-545,545,175
2026-08-22,YASUDA7,11,マギアレコード 魔法少女まどか☆マギカ外伝,5555,2697,29,41,,79.4,191.6,135.5,,5119,18,2624,165
2026-08-22,YASUDA7,12,マギアレコード 魔法少女まどか☆マギカ外伝,6355,-1028,36,35,,89.5,176.5,181.6,,0,-2261,2261,176
2026-08-22,YASUDA7,13,マギアレコード 魔法少女まどか☆マギカ外伝,4805,3000,24,47,,67.7,200.2,102.2,,3082,-382,2509,176
2026-08-22,YASUDA7,14,マギアレコード 魔法少女まどか☆マギカ外伝,3399,13591,22,77,,34.3,154.5,44.1,,13545,-636,636,175
2026-08-22,YASUDA7,15,マギアレコード 魔法少女まどか☆マギカ外伝,4887,3294,29,55,,58.2,168.5,88.9,,3294,-1193,1184,176
2026-08-22,YASUDA7,16,いざ！番長,1345,486,14,8,,61.1,96.1,168.1,,868,-236,504,176
2026-08-22,YASUDA7,17,いざ！番長,4021,-156,41,11,,77.3,98.1,365.5,,1830,-945,2394,176
2026-08-22,YASUDA7,18,いざ！番長,494,-618,1,0,,494.0,494.0,,,0,-623,623,176
2026-08-22,YASUDA7,19,スマスロ北斗の拳,4413,5909,89,11,,44.1,49.6,401.2,,5891,-618,855,175
2026-08-22,YASUDA7,20,スマスロ北斗の拳,2411,-945,21,6,,89.3,114.8,401.8,,0,-2307,2307,176
2026-08-22,YASUDA7,21,スマスロ北斗の拳,2151,-741,16,5,,102.4,134.4,430.2,,0,-1427,1427,176
2026-08-22,YASUDA7,22,スマスロ北斗の拳,6746,3391,92,26,,57.2,73.3,259.5,,3400,-909,1518,176
2026-08-22,YASUDA7,23,スマスロ北斗の拳,4203,-473,41,10,,82.4,102.5,420.3,,0,-2727,2727,176
2026-08-22,YASUDA7,24,北斗の拳 転生の章2,2225,-95,21,6,,82.4,106.0,370.8,,9,-1195,1195,176
2026-08-22,YASUDA7,25,北斗の拳 転生の章2,1205,972,18,6,,50.2,66.9,200.8,,1642,5,674,167
2026-08-22,YASUDA7,26,北斗の拳 転生の章2,689,-405,5,1,,114.8,137.8,689.0,,0,-905,905,176
2026-08-22,YASUDA7,27,北斗の拳 転生の章2,884,-1059,2,2,,221.0,442.0,442.0,,0,-1064,1064,176
2026-08-22,YASUDA7,28,北斗の拳 転生の章2,1385,-900,9,2,,125.9,153.9,692.5,,0,-1127,1127,176
2026-08-22,YASUDA7,29,化物語,2936,132,31,13,,66.7,94.7,225.8,,2064,-259,2187,178
2026-08-22,YASUDA7,30,化物語,1196,-1441,3,3,,199.3,398.7,398.7,,0,-1445,1445,176
2026-08-22,YASUDA7,31,化物語,3411,-2882,18,10,,121.8,189.5,341.1,,0,-2891,2891,176
