date,store_name,machine_number,machine_name,games,diff,bb,rb,art,total_rate,bb_rate,rb_rate,art_rate,graph_max,graph_min,graph_drawdown,graph_points
2026-08-19,楽園大宮店,2001,スマスロ サンダーV,5131,-857,16,11,0,190.0,320.7,466.5,,,,,
2026-08-19,楽園大宮店,2002,スマスロ サンダーV,6597,2429,28,21,0,134.6,235.6,314.1,,,,,
2026-08-19,楽園大宮店,2003,スマスロ サンダーV,7425,96,29,15,0,168.8,256.0,495.0,,,,,
2026-08-19,楽園大宮店,2004,スマスロ サンダーV,4783,-1381,16,3,0,251.7,298.9,1594.3,,,,,
2026-08-19,楽園大宮店,2005,スマスロ サンダーV,4917,-95,20,7,0,182.1,245.8,702.4,,,,,
2026-08-19,楽園大宮店,2006,スマスロ サンダーV,7101,667,26,17,0,165.1,273.1,417.7,,,,,
2026-08-19,楽園大宮店,2007,スマスロ サンダーV,8252,2191,35,24,0,139.9,235.8,343.8,,,,,
2026-08-19,楽園大宮店,2008,スマスロ サンダーV,7578,-190,27,19,0,164.7,280.7,398.8,,,,,
2026-08-19,楽園大宮店,2009,SHAKE BONUS TRIGGER,5031,-1904,9,11,0,251.6,559.0,457.4,,,,,
2026-08-19,楽園大宮店,2010,SHAKE BONUS TRIGGER,2647,-190,8,5,0,203.6,330.9,529.4,,,,,
2026-08-19,楽園大宮店,2011,SHAKE BONUS TRIGGER,6822,-95,21,11,0,213.2,324.9,620.2,,,,,
2026-08-19,楽園大宮店,2012,SHAKE BONUS TRIGGER,4110,96,11,13,0,171.2,373.6,316.2,,,,,
2026-08-19,楽園大宮店,2013,SHAKE BONUS TRIGGER,4224,-762,11,6,0,248.5,384.0,704.0,,,,,
2026-08-19,楽園大宮店,2014,ケロット5,4685,-666,18,9,0,173.5,260.3,520.6,,,,,
2026-08-19,楽園大宮店,2015,ケロット5,2576,-857,9,5,0,184.0,286.2,515.2,,,,,
2026-08-19,楽園大宮店,2016,ケロット5,7103,191,30,23,0,134.0,236.8,308.8,,,,,
2026-08-19,楽園大宮店,2017,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,4120,-2428,10,4,0,294.3,412.0,1030.0,,,,,
2026-08-19,楽園大宮店,2018,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,2128,-1428,3,7,0,212.8,709.3,304.0,,,,,
2026-08-19,楽園大宮店,2019,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,6937,96,22,22,0,157.7,315.3,315.3,,,,,
2026-08-19,楽園大宮店,2020,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,2180,-238,8,2,0,218.0,272.5,1090.0,,,,,
2026-08-19,楽園大宮店,2021,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,6646,905,26,16,0,158.2,255.6,415.4,,,,,
2026-08-19,楽園大宮店,2028,スマスロ ハナビ,7310,2477,34,21,0,132.9,215.0,348.1,,,,,
2026-08-19,楽園大宮店,2029,スマスロ ハナビ,4131,-48,13,9,0,187.8,317.8,459.0,,,,,
