台番号	G数	差枚	BB	RB
スマスロ サンダーV
2001	5,636	-1,809	19	10
2002	4,089	-523	12	12
2003	5,691	+1,572	24	11
2004	4,964	+2,762	25	14
2005	6,479	-1,000	22	12
2006	4,079	+1,048	17	10
2007	6,405	+3,619	35	15
2008	6,703	-333	25	9
SHAKE BONUS TRIGGER
2009	6,493	-762	18	17
2010	3,383	-190	8	8
2011	5,120	+858	18	14
2012	3,479	-1,523	5	11
2013	4,587	-3,285	6	9
ケロット5
2014	2,162	-2,047	4	1
2015	4,661	-1,523	14	10
2016	6,333	+334	31	15
2710	4,129	-95	18	11
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.
2017	5,220	+191	18	14
2018	1,912	-1,142	4	3
2019	6,053	+1,715	25	14
2020	2,516	+715	11	6
2021	3,901	-2,047	9	8
スマスロ ハナビ
2028	6,469	-1,333	19	18
2029	4,892	-1,333	14	9
2030	2,901	-1,571	5	7
2031	7,653	+143	24	27
2032	4,654	+96	16	16
2033	2,173	-142	7	3
2034	8,082	+96	24	30
2035	4,621	+715	18	14
バーサスリヴァイズ
2036	7,431	-95	22	27
2037	5,153	-1,523	10	17
2038	5,015	+191	16	16
2039	8,057	+477	28	24
ジャグラーガールズ
2040	5,668	-48	20	23
2041	5,514	+762	23	19
2042	6,973	+1,524	35	16
2043	5,648	-1,333	17	16
2044	6,370	+1,000	28	21
2045	3,031	-1,047	7	9
2046	8,126	+381	33	24
2047	8,495	-1,666	25	26
2048	4,862	-48	18	15
2049	5,144	-1,047	18	17
2050	7,232	+191	30	21
ファンキージャグラー2
2051	2,678	-714	7	7
2052	5,836	-762	19	15
2053	2,494	-1,000	6	8
2054	5,848	+524	26	16
2055	6,679	+2,096	31	26
2056	3,123	-571	10	5
2057	3,147	-619	10	6
2058	5,682	+524	22	17
2059	7,241	+2,334	37	21
2060	5,326	-428	18	18
2061	5,770	-95	18	22
2062	4,706	-1,285	15	6
2063	2,122	-381	8	3
2064	5,182	+143	22	11
2065	3,192	-1,762	6	7
2066	3,357	-714	10	10
2067	2,473	-1,714	4	2
2068	4,674	-857	13	14
2069	4,897	-1,190	10	21
2070	4,650	-381	18	10
2071	0	+0	0	0
2072	4,518	+524	22	9
2073	3,878	-1,190	11	7
2074	3,902	-48	16	9
2075	4,125	-523	15	8
2076	3,360	+191	15	6
2077	4,730	-952	16	11
2078	3,817	-1,285	13	6
2079	2,850	-904	9	3
2080	5,334	+381	23	16
2081	7,069	+2,810	36	23
2082	4,889	+96	21	13
2083	7,070	+905	31	19
ネオアイムジャグラーEX
2084	5,815	-857	19	16
2085	2,141	-428	8	1
2086	3,907	+1,762	22	7
2087	5,015	+334	22	12
2088	4,546	-142	17	13
2089	3,219	+334	11	8
2090	3,309	-1,190	10	5
2091	4,207	-1,285	11	12
2092	4,763	+858	21	10
2093	5,587	-428	22	8
2094	4,495	-1,333	14	7
2095	2,827	-1,571	6	6
2096	6,254	-238	23	18
2097	5,247	-1,952	12	14
2098	3,464	-381	13	6
2191	5,124	-428	19	9
2192	3,800	-714	13	7
2193	4,417	+1,381	21	11
2194	5,181	-904	17	12
2195	4,439	-48	18	10
2196	3,957	-762	14	7
2197	4,576	-1,333	12	13
2198	4,291	+238	18	12
2199	4,341	-1,285	13	9
2200	5,707	-1,952	15	12
2201	5,044	-333	18	13
2202	5,210	+2,096	28	14
2203	6,286	+238	24	20
2204	4,201	-333	15	13
2205	3,085	+477	16	5
2206	3,446	-1,285	8	10
2207	5,546	+810	26	8
2208	3,448	-666	13	2
2209	4,581	+1,715	21	15
2210	4,364	-1,095	11	15
2211	2,270	-1,857	3	3
2212	7,782	+238	30	22
2213	2,580	-285	8	7
2214	2,461	-1,095	5	4
2215	4,262	-1,285	10	13
2216	5,284	-904	18	11
2217	5,917	+334	25	12
2218	6,313	+1,096	31	11
2219	2,451	-1,095	6	5
2220	4,677	-762	14	14
2221	1,541	-1,000	3	2
2222	6,119	-95	23	19
2223	850	-952	1	0
2224	3,557	-333	12	8
2225	2,244	-1,428	5	2
2226	3,212	-95	13	4
2227	6,865	-1,952	17	19
2228	3,605	+238	16	9
2229	1,352	-1,238	1	2
2230	5,193	-857	16	12
2231	4,339	-238	17	9
2232	3,448	-571	10	11
2233	6,472	-1,333	18	16
2234	4,322	+334	20	5
2235	6,594	-1,666	18	20
2236	5,097	+96	19	15
2237	6,258	+1,715	31	20
2238	1,950	-619	5	6
2239	3,037	-1,333	9	0
2240	5,401	-762	18	12
2241	2,816	-1,095	5	6
2242	5,984	+1,096	28	11
2243	3,256	+1,667	18	9
2244	4,982	+810	20	16
2245	3,461	-952	11	5
2246	1,685	+381	8	3
2247	4,288	-1,333	13	7
2248	5,342	-571	21	8
ウルトラミラクルジャグラー
2099	6,074	-1,476	19	17
2100	5,324	+2,000	26	18
2101	5,939	-619	22	12
2102	6,121	-48	26	15
2103	5,124	-2,095	12	14
2104	6,099	+1,429	29	17
2105	3,566	-1,190	12	4
ミリオンゴッド‐神々の軌跡‐
2106	7,102	-3,190	0	0
2107	5,581	-2,333	0	0
2108	3,283	-904	7	0
2109	8,166	+4,572	6	0
2110	4,861	+2,953	3	0
2111	3,628	+238	0	0
2112	8,226	-762	7	0
2113	4,956	+6,810	7	0
2114	1,444	-952	0	0
2115	8,347	+810	12	0
2116	8,566	+11,762	15	0
2117	4,974	-2,238	2	0
2118	8,855	+6,858	7	0
2119	5,708	+15,477	14	0
2120	5,453	-857	0	0
2121	6,462	-428	6	0
2122	3,216	-1,952	0	0
2123	4,401	+238	3	0
2124	3,394	-2,428	0	0
2125	3,370	-2,571	0	0
2126	6,106	-3,238	2	0
2127	6,675	+2,667	2	0
2128	6,389	-2,952	0	0
2145	3,005	-2,190	0	0
2146	7,034	+8,905	10	0
2147	1,335	-1,285	0	0
2148	4,168	+3,000	12	0
2149	2,363	-1,619	0	0
2150	3,794	-1,333	0	0
2161	2,397	-1,904	0	0
2162	2,266	-1,000	0	0
2163	8,147	+715	0	0
2164	5,217	-3,857	0	0
2165	4,993	-1,381	0	0
2166	7,220	+238	6	0
2624	2,352	-1,381	0	0
